Borough,Count of Crime,Crime Rate
Barking and Dagenham,19836,2.16
Barnet,30926,3.37
Bexley,16932,1.84
Brent,33039,3.60
Bromley,25125,2.74
Camden,38691,4.21
City of London,8268,0.90
Croydon,33546,3.65
Ealing,30920,3.37
Enfield,30561,3.33
Greenwich,27865,3.04
Hackney,33948,3.70
Hammersmith and Fulham,24022,2.62
Haringey,33531,3.65
Harrow,16431,1.79
Havering,20191,2.20
Hillingdon,27258,2.97
Hounslow,27554,3.00
Islington,30800,3.35
Kensington and Chelsea,23853,2.60
Kingston upon Thames,13455,1.47
Lambeth,37589,4.09
Lewisham,28247,3.08
Merton,14885,1.62
Newham,38654,4.21
Redbridge,25308,2.76
Richmond upon Thames,13704,1.49
Southwark,38862,4.23
Sutton,13272,1.45
Tower Hamlets,36275,3.95
Waltham Forest,25656,2.79
Wandsworth,27841,3.03
Westminster,71034,7.74